Project name,Is Vulnerable
ant,FALSE
antlr,FALSE
aoi,FALSE
argouml,TRUE
aspectj,FALSE
azureus,FALSE
c_jdbc,TRUE
castor,TRUE
cayenne,FALSE
checkstyle,FALSE
cobertura,FALSE
collections,FALSE
compiere,TRUE
derby,TRUE
drjava,FALSE
eclipse_SDK,TRUE
emma,FALSE
findbugs,TRUE
fitlibraryforfitnesse,TRUE
freecol,TRUE
freecs,FALSE
freemind,TRUE
galleon,TRUE
ganttproject,TRUE
gt2,TRUE
hadoop,TRUE
heritrix,TRUE
hibernate,TRUE
hsqldb,FALSE
htmlunit,TRUE
informa,TRUE
ireport,TRUE
james,TRUE
jasperreports,TRUE
javacc,FALSE
jboss,TRUE
jchempaint,FALSE
jedit,FALSE
jena,FALSE
jFin_DateMath,FALSE
jfreechart,FALSE
jgrapht,TRUE
jgroups,FALSE
jhotdraw,FALSE
jmeter,TRUE
jpf,FALSE
jre,FALSE
jruby,TRUE
jspwiki,TRUE
jstock,TRUE
jtopen,FALSE
jung,FALSE
junit,FALSE
marauroa,TRUE
maven,TRUE
megamek,TRUE
mvnforum,TRUE
nekohtml,FALSE
netbeans,TRUE
picocontainer,FALSE
pmd,FALSE
proguard,FALSE
quartz,FALSE
quilt,FALSE
roller,TRUE
rssowl,TRUE
sablecc,FALSE
springframework,FALSE
squirrel_sql,TRUE
struts,TRUE
tapestry,TRUE
tomcat,TRUE
velocity,FALSE
wct,TRUE
webmail,FALSE
weka,FALSE
xerces,FALSE
