Project name,Number of vulnerabilities per library
aoi,0.0
jgroups,0.0
jhotdraw,0.0
maven,0.0136986301369863
quilt,0.0
freecol,0.3076923076923077
mvnforum,1.125
jtopen,0.0
marauroa,0.5
springframework,0.0
struts,0.275
wct,0.2631578947368421
htmlunit,0.09375
tomcat,0.3333333333333333
fitlibraryforfitnesse,0.1
argouml,0.11627906976744186
jspwiki,0.14634146341463414
ant,0.0
proguard,0.0
eclipse_SDK,0.3150684931506849
hibernate,0.11764705882352941
webmail,0.0
informa,0.2222222222222222
nekohtml,0.0
weka,0.0
antlr,0.0
jchempaint,0.0
c_jdbc,0.10204081632653061
sablecc,0.0
ireport,0.125
james,0.19047619047619047
compiere,0.09714285714285714
megamek,0.25
checkstyle,0.0
quartz,0.0
freemind,0.1111111111111111
hsqldb,0.0
jasperreports,0.1267605633802817
cobertura,0.0
jedit,0.0
aspectj,0.0
findbugs,6.1875
cayenne,0.0
jung,0.0
jfreechart,0.0
galleon,0.03076923076923077
tapestry,0.34210526315789475
jmeter,0.041666666666666664
jboss,0.1270718232044199
emma,0.0
roller,0.5081967213114754
gt2,1.009009009009009
picocontainer,0.0
heritrix,1.1153846153846154
jFin_DateMath,0.0
velocity,0.0
pmd,0.0
javacc,0.0
collections,0.0
derby,0.02857142857142857
jstock,0.06666666666666667
xerces,0.0
rssowl,0.045454545454545456
junit,0.0
jruby,0.05555555555555555
netbeans,0.46296296296296297
hadoop,0.10204081632653061
jpf,0.0
squirrel_sql,0.11363636363636363
freecs,0.0
jena,0.0
drjava,0.0
azureus,0.0
castor,0.17647058823529413
jre,0.0
jgrapht,0.3333333333333333
ganttproject,0.11538461538461539
