Project name,Total Number of Libraries
ant,3
antlr,1
aoi,17
argouml,43
aspectj,0
azureus,1
c_jdbc,49
castor,17
cayenne,7
checkstyle,10
cobertura,12
collections,0
compiere,175
derby,35
drjava,17
eclipse_SDK,73
emma,1
findbugs,16
fitlibraryforfitnesse,10
freecol,13
freecs,8
freemind,45
galleon,65
ganttproject,26
gt2,111
hadoop,49
heritrix,26
hibernate,17
hsqldb,1
htmlunit,32
informa,18
ireport,88
james,21
jasperreports,71
javacc,1
jboss,181
jchempaint,36
jedit,2
jena,11
jFin_DateMath,0
jfreechart,6
jgrapht,6
jgroups,9
jhotdraw,8
jmeter,48
jpf,2
jre,0
jruby,54
jspwiki,41
jstock,45
jtopen,12
jung,7
junit,0
marauroa,6
maven,73
megamek,16
mvnforum,48
nekohtml,9
netbeans,270
picocontainer,0
pmd,10
proguard,2
quartz,6
quilt,0
roller,61
rssowl,44
sablecc,0
springframework,8
squirrel_sql,44
struts,40
tapestry,38
tomcat,3
velocity,16
wct,95
webmail,12
weka,6
xerces,3
