Project name,Total Number of Vulnerable Libraries
ant,0
antlr,0
aoi,0
argouml,3
aspectj,0
azureus,0
c_jdbc,2
castor,1
cayenne,0
checkstyle,0
cobertura,0
collections,0
compiere,85
derby,1
drjava,0
eclipse_SDK,3
emma,0
findbugs,2
fitlibraryforfitnesse,1
freecol,1
freecs,0
freemind,2
galleon,1
ganttproject,3
gt2,3
hadoop,4
heritrix,3
hibernate,5
hsqldb,0
htmlunit,4
informa,1
ireport,5
james,2
jasperreports,3
javacc,0
jboss,29
jchempaint,0
jedit,0
jena,0
jFin_DateMath,0
jfreechart,0
jgrapht,2
jgroups,0
jhotdraw,0
jmeter,2
jpf,0
jre,0
jruby,2
jspwiki,3
jstock,3
jtopen,0
jung,0
junit,0
marauroa,1
maven,1
megamek,1
mvnforum,5
nekohtml,0
netbeans,14
picocontainer,0
pmd,0
proguard,0
quartz,0
quilt,0
roller,6
rssowl,3
sablecc,0
springframework,0
squirrel_sql,1
struts,5
tapestry,4
tomcat,1
velocity,0
wct,19
webmail,0
weka,0
xerces,0
