Project name,Total Number of Libraries
aoi,0.0
jgroups,1.0
jhotdraw,5.0
maven,47.0
quilt,1.0
freecol,1.0
mvnforum,1.0
jtopen,0.0
marauroa,1.0
springframework,26.0
struts,5.0
wct,2.0
htmlunit,4.0
tomcat,13.0
fitlibraryforfitnesse,1.0
argouml,27.0
jspwiki,1.0
ant,23.0
proguard,2.0
eclipse_SDK,342.0
hibernate,10.0
webmail,1.0
informa,1.0
nekohtml,2.0
weka,1.0
antlr,1.0
jchempaint,1.0
c_jdbc,4.0
sablecc,1.0
ireport,9.0
james,2.0
compiere,5.0
megamek,1.0
checkstyle,2.0
quartz,6.0
freemind,6.0
hsqldb,1.0
jasperreports,4.0
cobertura,1.0
jedit,1.0
aspectj,6.0
findbugs,4.0
cayenne,4.0
jung,10.0
jfreechart,4.0
galleon,22.0
tapestry,8.0
jmeter,19.0
jboss,52.0
emma,2.0
roller,2.0
gt2,76.0
picocontainer,1.0
heritrix,3.0
jFin_DateMath,1.0
velocity,2.0
pmd,4.0
javacc,1.0
collections,1.0
derby,23.0
jstock,2.0
xerces,2.0
rssowl,1.0
junit,1.0
jruby,5.0
netbeans,1539.0
hadoop,3.0
jpf,3.0
squirrel_sql,9.0
freecs,1.0
jena,1.0
drjava,1.0
azureus,0.0
castor,1.0
jre,0.0
jgrapht,1.0
ganttproject,4.0
