Project name,Total Number of Dependencies
jgroups,1.0
sandmark,9.0
maven,35.0
quilt,1.0
mvnforum,3.0
jtopen,0.0
jasml,1.0
poi,1.0
wct,2.0
htmlunit,36.0
myfaces_core,0.0
tomcat,16.0
proguard,2.0
hibernate,20.0
webmail,13.0
nekohtml,2.0
jchempaint,1.0
c_jdbc,57.0
ireport,7.0
jmoney,1.0
jrefactory,1.0
quartz,6.0
jasperreports,4.0
freemind,63.0
cobertura,26.0
axion,1.0
jedit,1.0
aspectj,6.0
findbugs,20.0
ivatagroupware,10.0
jsXe,1.0
jmeter,1.0
jgraph,3.0
trove,3.0
heritrix,57.0
velocity,18.0
pmd,4.0
nakedobjects,4.0
collections,1.0
sunflow,2.0
freecs,9.0
batik,40.0
drjava,18.0
castor,19.0
xalan,19.0
fitjava,6.0
log4j,1.0
aoi,18.0
jgraphpad,2.0
jhotdraw,5.0
freecol,14.0
quickserver,20.0
colt,3.0
displaytag,3.0
lucene,42.0
marauroa,1.0
springframework,26.0
struts,4.0
itext,0.0
fitlibraryforfitnesse,11.0
exoportal,0.0
argouml,23.0
jspwiki,0.0
columba,32.0
ant,26.0
jag,1.0
eclipse_SDK,0.0
informa,1.0
weka,7.0
antlr,2.0
sablecc,1.0
james,1.0
compiere,4.0
checkstyle,12.0
megamek,1.0
hsqldb,1.0
openjms,4.0
jext,1.0
cayenne,4.0
jung,10.0
jfreechart,4.0
galleon,87.0
tapestry,8.0
jboss,234.0
emma,3.0
roller,2.0
xmojo,5.0
gt2,77.0
picocontainer,1.0
oscache,3.0
jFin_DateMath,1.0
pooka,7.0
derby,58.0
drawswf,4.0
jstock,1.0
xerces,2.0
rssowl,44.0
jrat,1.0
jruby,3.0
junit,1.0
netbeans,1501.0
hadoop,54.0
jena,1.0
squirrel_sql,1.0
joggplayer,2.0
azureus,2.0
jre,0.0
jgrapht,7.0
ganttproject,30.0
