Project name,Total Number of Dependencies
sandmark,8.0
jgroups,9.0
maven,84.0
quilt,0.0
jparse,0.0
mvnforum,48.0
jtopen,12.0
jasml,0.0
poi,6.0
wct,95.0
htmlunit,34.0
myfaces_core,9.0
tomcat,13.0
proguard,2.0
hibernate,17.0
webmail,12.0
nekohtml,9.0
jchempaint,36.0
c_jdbc,53.0
ireport,88.0
jmoney,3.0
jrefactory,10.0
quartz,6.0
jasperreports,71.0
freemind,49.0
cobertura,12.0
axion,0.0
jedit,2.0
aspectj,0.0
findbugs,18.0
ivatagroupware,5.0
jsXe,3.0
jmeter,66.0
jgraph,0.0
trove,1.0
heritrix,27.0
velocity,16.0
pmd,10.0
nakedobjects,3.0
collections,0.0
sunflow,1.0
jpf,2.0
freecs,8.0
batik,14.0
drjava,17.0
castor,17.0
xalan,14.0
fitjava,6.0
log4j,0.0
aoi,17.0
jgraphpad,9.0
jhotdraw,8.0
freecol,14.0
quickserver,18.0
colt,2.0
displaytag,0.0
lucene,17.0
marauroa,6.0
springframework,8.0
struts,41.0
itext,1.0
fitlibraryforfitnesse,11.0
exoportal,160.0
argouml,47.0
jspwiki,42.0
columba,31.0
ant,3.0
jag,117.0
eclipse_SDK,415.0
informa,18.0
weka,6.0
antlr,1.0
sablecc,0.0
james,22.0
compiere,178.0
checkstyle,10.0
megamek,17.0
hsqldb,1.0
openjms,18.0
jext,14.0
cayenne,7.0
jung,7.0
jfreechart,6.0
galleon,86.0
tapestry,38.0
jboss,200.0
emma,1.0
roller,61.0
xmojo,6.0
gt2,186.0
picocontainer,0.0
oscache,2.0
jFin_DateMath,0.0
pooka,5.0
javacc,1.0
derby,35.0
drawswf,3.0
jstock,46.0
xerces,3.0
rssowl,41.0
jrat,3.0
jruby,56.0
junit,0.0
netbeans,308.0
hadoop,50.0
squirrel_sql,53.0
jena,11.0
joggplayer,2.0
azureus,1.0
jre,0.0
jgrapht,6.0
ganttproject,25.0
