Project name,Number of vulnerabilities per dependency
sandmark,0.0
jgroups,0.0
maven,0.011904761904761904
quilt,0.0
jparse,0.0
mvnforum,1.125
jtopen,0.0
jasml,0.0
poi,0.0
wct,0.2631578947368421
htmlunit,0.08823529411764706
myfaces_core,0.0
tomcat,2.4615384615384617
proguard,0.0
hibernate,0.11764705882352941
webmail,0.0
nekohtml,0.0
jchempaint,0.0
c_jdbc,0.09433962264150944
ireport,0.125
jmoney,0.0
jrefactory,0.1
quartz,0.0
jasperreports,0.1267605633802817
freemind,0.10204081632653061
cobertura,0.0
axion,0.0
jedit,0.0
aspectj,0.0
findbugs,5.5
ivatagroupware,0.0
jsXe,0.0
jmeter,0.030303030303030304
jgraph,0.0
trove,0.0
heritrix,0.9629629629629629
velocity,0.0
pmd,0.0
nakedobjects,0.3333333333333333
collections,0.0
sunflow,0.0
jpf,0.0
freecs,0.0
batik,0.0
drjava,0.0
castor,0.17647058823529413
xalan,0.0
fitjava,0.0
log4j,0.0
aoi,0.0
jgraphpad,0.0
jhotdraw,0.0
freecol,0.2857142857142857
quickserver,0.0
colt,0.0
displaytag,0.0
lucene,0.058823529411764705
marauroa,0.5
springframework,0.0
struts,0.2682926829268293
itext,0.0
fitlibraryforfitnesse,0.09090909090909091
exoportal,0.09375
argouml,0.19148936170212766
jspwiki,0.14285714285714285
columba,0.0
ant,0.0
jag,0.39316239316239315
eclipse_SDK,0.05783132530120482
informa,0.2222222222222222
weka,0.0
antlr,0.0
sablecc,0.0
james,0.18181818181818182
compiere,0.09550561797752809
checkstyle,0.0
megamek,0.23529411764705882
hsqldb,0.0
openjms,0.2222222222222222
jext,0.2857142857142857
cayenne,0.0
jung,0.0
jfreechart,0.0
galleon,0.023255813953488372
tapestry,0.34210526315789475
jboss,0.115
emma,0.0
roller,0.5081967213114754
xmojo,1.1666666666666667
gt2,0.6612903225806451
picocontainer,0.0
oscache,0.0
jFin_DateMath,0.0
pooka,0.2
javacc,0.0
derby,0.02857142857142857
drawswf,0.0
jstock,0.06521739130434782
xerces,0.0
rssowl,0.024390243902439025
jrat,0.0
jruby,0.05357142857142857
junit,0.0
netbeans,0.40584415584415584
hadoop,0.14
squirrel_sql,0.09433962264150944
jena,0.0
joggplayer,0.0
azureus,0.0
jre,0.0
jgrapht,0.3333333333333333
ganttproject,0.12
