Project name,Total Number of Dependencies
sandmark,8.0
jgroups,9.0
maven,73.0
quilt,0.0
jparse,0.0
mvnforum,48.0
jtopen,12.0
jasml,0.0
poi,0.0
wct,95.0
htmlunit,32.0
myfaces_core,0.0
tomcat,3.0
proguard,2.0
hibernate,17.0
webmail,12.0
nekohtml,9.0
jchempaint,36.0
c_jdbc,49.0
ireport,88.0
jmoney,3.0
jrefactory,8.0
quartz,6.0
jasperreports,71.0
freemind,45.0
cobertura,12.0
axion,0.0
jedit,2.0
aspectj,0.0
findbugs,16.0
ivatagroupware,0.0
jsXe,3.0
jmeter,48.0
jgraph,0.0
trove,0.0
heritrix,26.0
velocity,16.0
pmd,10.0
nakedobjects,0.0
collections,0.0
sunflow,1.0
jpf,2.0
freecs,8.0
batik,10.0
drjava,17.0
castor,17.0
xalan,14.0
fitjava,6.0
log4j,0.0
aoi,17.0
jgraphpad,9.0
jhotdraw,8.0
freecol,13.0
quickserver,18.0
colt,2.0
displaytag,0.0
lucene,0.0
marauroa,6.0
springframework,8.0
struts,40.0
itext,0.0
fitlibraryforfitnesse,10.0
exoportal,118.0
argouml,43.0
jspwiki,41.0
columba,31.0
ant,3.0
jag,109.0
eclipse_SDK,73.0
informa,18.0
weka,6.0
antlr,1.0
sablecc,0.0
james,21.0
compiere,175.0
checkstyle,10.0
megamek,16.0
hsqldb,1.0
openjms,18.0
jext,13.0
cayenne,7.0
jung,7.0
jfreechart,6.0
galleon,65.0
tapestry,38.0
jboss,181.0
emma,1.0
roller,61.0
xmojo,5.0
gt2,111.0
picocontainer,0.0
oscache,0.0
jFin_DateMath,0.0
pooka,0.0
javacc,1.0
derby,35.0
drawswf,3.0
jstock,45.0
xerces,3.0
rssowl,44.0
jrat,3.0
jruby,54.0
junit,0.0
netbeans,270.0
hadoop,49.0
squirrel_sql,44.0
jena,11.0
joggplayer,2.0
azureus,1.0
jre,0.0
jgrapht,6.0
ganttproject,26.0
