Project name,Total Number of Unique Vulnerabilities
ant,0
antlr,0
aoi,0
argouml,5
aspectj,0
axion,0
azureus,0
batik,0
c_jdbc,5
castor,3
cayenne,0
checkstyle,0
cobertura,0
collections,0
colt,0
columba,0
compiere,17
derby,1
displaytag,0
drawswf,0
drjava,0
eclipse_SDK,23
emma,0
exoportal,15
findbugs,99
fitjava,0
fitlibraryforfitnesse,1
freecol,4
freecs,0
freemind,5
galleon,2
ganttproject,3
gt2,112
hadoop,5
heritrix,29
hibernate,2
hsqldb,0
htmlunit,3
informa,4
ireport,11
itext,0
ivatagroupware,0
jag,46
james,4
jasml,0
jasperreports,9
javacc,0
jboss,23
jchempaint,0
jedit,0
jena,0
jext,4
jFin_DateMath,0
jfreechart,0
jgraph,0
jgraphpad,0
jgrapht,2
jgroups,0
jhotdraw,0
jmeter,2
jmoney,0
joggplayer,0
jparse,0
jpf,0
jrat,0
jre,0
jrefactory,0
jruby,3
jspwiki,6
jstock,3
jsXe,0
jtopen,0
jung,0
junit,0
log4j,0
lucene,0
marauroa,3
maven,1
megamek,4
mvnforum,54
myfaces_core,0
nakedobjects,0
nekohtml,0
netbeans,125
openjms,4
oscache,0
picocontainer,0
pmd,0
poi,0
pooka,0
proguard,0
quartz,0
quickserver,0
quilt,0
roller,31
rssowl,2
sablecc,0
sandmark,0
springframework,0
squirrel_sql,5
struts,11
sunflow,0
tapestry,13
tomcat,1
trove,0
velocity,0
wct,25
webmail,0
weka,0
xalan,0
xerces,0
xmojo,7
