Project name,Number of vulnerabilities per dependency
sandmark,0.0
jgroups,0.0
maven,0.0425531914893617
quilt,0.0
jparse,0.0
mvnforum,0.0
jtopen,0.0
jasml,0.0
poi,0.0
wct,0.0
htmlunit,0.0
myfaces_core,0.0
tomcat,3.0
proguard,0.0
hibernate,0.0
webmail,0.0
nekohtml,0.0
jchempaint,0.0
c_jdbc,0.0
ireport,0.4444444444444444
jmoney,0.0
jrefactory,0.3333333333333333
quartz,0.16666666666666666
jasperreports,0.0
freemind,0.0
cobertura,0.0
axion,0.0
jedit,0.0
aspectj,0.0
findbugs,0.0
ivatagroupware,0.0
jsXe,0.0
jmeter,0.0
jgraph,0.0
trove,0.0
heritrix,0.6666666666666666
velocity,0.0
pmd,0.0
nakedobjects,0.0
collections,0.0
sunflow,0.0
jpf,0.0
freecs,0.0
batik,0.1
drjava,0.0
castor,0.0
xalan,0.0
fitjava,0.0
log4j,0.0
aoi,0.0
jgraphpad,0.0
jhotdraw,0.0
freecol,0.0
quickserver,0.0
colt,0.0
displaytag,0.0
lucene,0.0
marauroa,0.0
springframework,0.19230769230769232
struts,4.4
itext,0.0
fitlibraryforfitnesse,0.0
exoportal,0.0
argouml,0.14814814814814814
jspwiki,0.0
columba,0.0
ant,0.0
jag,0.0
eclipse_SDK,0.005847953216374269
informa,0.0
weka,0.0
antlr,0.0
sablecc,0.0
james,0.0
compiere,0.0
checkstyle,0.0
megamek,0.0
hsqldb,0.0
openjms,0.0
jext,0.0
cayenne,0.0
jung,0.0
jfreechart,0.0
galleon,0.0
tapestry,0.0
jboss,0.11538461538461539
emma,0.0
roller,0.0
xmojo,0.0
gt2,0.14473684210526316
picocontainer,0.0
oscache,0.0
jFin_DateMath,0.0
pooka,0.0
javacc,0.0
derby,0.0
drawswf,0.0
jstock,0.0
xerces,0.0
rssowl,1.0
jrat,0.0
jruby,0.6
junit,0.0
netbeans,0.00649772579597141
hadoop,1.0
squirrel_sql,0.0
jena,0.0
joggplayer,0.0
azureus,0.0
jre,0.0
jgrapht,0.0
ganttproject,0.0
