Project name,Total Number of Vulnerabilities
ant,0
antlr,0
aoi,0
argouml,4
aspectj,0
axion,0
azureus,0
batik,3
c_jdbc,0
castor,0
cayenne,0
checkstyle,0
cobertura,0
collections,0
colt,0
columba,0
compiere,0
derby,0
displaytag,0
drawswf,0
drjava,0
eclipse_SDK,126
emma,0
exoportal,0
findbugs,0
fitjava,0
fitlibraryforfitnesse,0
freecol,0
freecs,0
freemind,0
galleon,0
ganttproject,0
gt2,11
hadoop,4
heritrix,2
hibernate,0
hsqldb,0
htmlunit,0
informa,0
ireport,4
itext,0
ivatagroupware,0
jag,0
james,0
jasml,0
jasperreports,0
javacc,0
jboss,44
jchempaint,0
jedit,0
jena,0
jext,0
jFin_DateMath,0
jfreechart,0
jgraph,0
jgraphpad,0
jgrapht,0
jgroups,0
jhotdraw,0
jmeter,0
jmoney,0
joggplayer,0
jparse,0
jpf,0
jrat,0
jre,0
jrefactory,1
jruby,6
jspwiki,0
jstock,0
jsXe,0
jtopen,0
jung,0
junit,0
log4j,0
lucene,0
marauroa,0
maven,3
megamek,0
mvnforum,0
myfaces_core,0
nakedobjects,0
nekohtml,0
netbeans,17
openjms,0
oscache,0
picocontainer,0
pmd,0
poi,0
pooka,0
proguard,0
quartz,1
quickserver,0
quilt,0
roller,0
rssowl,1
sablecc,0
sandmark,0
springframework,5
squirrel_sql,0
struts,62
sunflow,0
tapestry,0
tomcat,148
trove,0
velocity,0
wct,0
webmail,0
weka,0
xalan,0
xerces,0
xmojo,0
