Project name,Total Number of Dependencies
sandmark,1
jgroups,1
maven,35
quilt,1
jparse,1
mvnforum,1
jtopen,0
jasml,1
poi,1
wct,2
htmlunit,2
myfaces_core,0
tomcat,3
proguard,2
hibernate,10
webmail,1
nekohtml,2
jchempaint,1
c_jdbc,0
ireport,7
jmoney,1
jrefactory,1
quartz,6
jasperreports,4
freemind,2
cobertura,1
axion,1
jedit,1
aspectj,6
findbugs,2
ivatagroupware,10
jsXe,1
jmeter,1
jgraph,3
trove,2
heritrix,2
velocity,2
pmd,4
nakedobjects,1
collections,1
sunflow,1
jpf,3
freecs,1
batik,26
drjava,1
castor,1
xalan,5
fitjava,0
log4j,1
aoi,0
jgraphpad,2
jhotdraw,5
freecol,0
quickserver,0
colt,1
displaytag,3
lucene,25
marauroa,1
springframework,26
struts,4
itext,0
fitlibraryforfitnesse,0
exoportal,0
argouml,23
jspwiki,0
columba,1
ant,23
jag,1
eclipse_SDK,0
informa,1
weka,1
antlr,1
sablecc,1
james,1
compiere,2
checkstyle,2
megamek,0
hsqldb,1
openjms,4
jext,1
cayenne,4
jung,10
jfreechart,4
galleon,1
tapestry,8
jboss,34
emma,2
roller,2
xmojo,5
gt2,1
picocontainer,1
oscache,1
jFin_DateMath,1
pooka,2
javacc,1
derby,23
drawswf,1
jstock,1
xerces,2
rssowl,3
jrat,1
jruby,3
junit,1
netbeans,1501
hadoop,2
squirrel_sql,0
jena,1
joggplayer,0
azureus,0
jre,0
jgrapht,1
ganttproject,5
