Project name,Total Number of Dependencies
ant,3
antlr,1
aoi,17
argouml,47
aspectj,0
axion,0
azureus,1
batik,14
c_jdbc,53
castor,17
cayenne,7
checkstyle,10
cobertura,12
collections,0
colt,2
columba,31
compiere,178
derby,35
displaytag,0
drawswf,3
drjava,17
eclipse_SDK,415
emma,1
exoportal,160
findbugs,18
fitjava,6
fitlibraryforfitnesse,11
freecol,14
freecs,8
freemind,49
galleon,86
ganttproject,25
gt2,186
hadoop,50
heritrix,27
hibernate,17
hsqldb,1
htmlunit,34
informa,18
ireport,88
itext,1
ivatagroupware,5
jag,117
james,22
jasml,0
jasperreports,71
javacc,1
jboss,200
jchempaint,36
jedit,2
jena,11
jext,14
jFin_DateMath,0
jfreechart,6
jgraph,0
jgraphpad,9
jgrapht,6
jgroups,9
jhotdraw,8
jmeter,66
jmoney,3
joggplayer,2
jparse,0
jpf,2
jrat,3
jre,0
jrefactory,10
jruby,56
jspwiki,42
jstock,46
jsXe,3
jtopen,12
jung,7
junit,0
log4j,0
lucene,17
marauroa,6
maven,84
megamek,17
mvnforum,48
myfaces_core,9
nakedobjects,3
nekohtml,9
netbeans,308
openjms,18
oscache,2
picocontainer,0
pmd,10
poi,6
pooka,5
proguard,2
quartz,6
quickserver,18
quilt,0
roller,61
rssowl,41
sablecc,0
sandmark,8
springframework,8
squirrel_sql,53
struts,41
sunflow,1
tapestry,38
tomcat,13
trove,1
velocity,16
wct,95
webmail,12
weka,6
xalan,14
xerces,3
xmojo,6
