Project name,Total Number of Vulnerabilities
ant,0
antlr,0
aoi,0
argouml,9
aspectj,0
axion,0
azureus,0
batik,0
c_jdbc,5
castor,3
cayenne,0
checkstyle,0
cobertura,0
collections,0
colt,0
columba,0
compiere,97
derby,1
displaytag,0
drawswf,0
drjava,0
eclipse_SDK,150
emma,0
exoportal,33
findbugs,99
fitjava,0
fitlibraryforfitnesse,1
freecol,4
freecs,0
freemind,5
galleon,2
ganttproject,3
gt2,123
hadoop,19
heritrix,26
hibernate,6
hsqldb,0
htmlunit,7
informa,4
ireport,11
itext,0
ivatagroupware,0
jag,47
james,4
jasml,0
jasperreports,9
javacc,0
jboss,64
jchempaint,0
jedit,0
jena,0
jext,4
jFin_DateMath,0
jfreechart,0
jgraph,0
jgraphpad,0
jgrapht,4
jgroups,0
jhotdraw,0
jmeter,2
jmoney,0
joggplayer,0
jparse,0
jpf,0
jrat,0
jre,0
jrefactory,1
jruby,5
jspwiki,6
jstock,3
jsXe,0
jtopen,0
jung,0
junit,0
log4j,0
lucene,1
marauroa,3
maven,1
megamek,4
mvnforum,58
myfaces_core,0
nakedobjects,1
nekohtml,0
netbeans,138
openjms,4
oscache,0
picocontainer,0
pmd,0
poi,0
pooka,1
proguard,0
quartz,0
quickserver,0
quilt,0
roller,54
rssowl,1
sablecc,0
sandmark,0
springframework,0
squirrel_sql,5
struts,12
sunflow,0
tapestry,13
tomcat,97
trove,0
velocity,0
wct,34
webmail,0
weka,0
xalan,0
xerces,0
xmojo,7
