JAR File,Vulnerable JAR File Distribution
jarbundler-2.1.0.jar,1.0
geronimo-javamail_1.3.1_spec-1.0.jar,1.0
mail-1.3.1.jar,1.0
CrystalContentModels.jar,1.0
sqlServer.jar,1.0
org.mortbay.jetty-5.1.10.jar,1.0
jsp-api.jar,1.0
PhpPlugin.jar,1.0
juddi-saaj.jar,1.0
streambuffer.jar,1.0
jasper.jar,1.0
jrcadapter.jar,1.0
servlet-api-2.5-6.0.2.jar,1.0
hdfsproxy-2.0.jar,1.0
org.eclipse.ant.ui_3.5.400.v20130514-1341.jar,1.0
log4j.jar,1.0
org.eclipse.core.commands_3.6.100.v20130515-1857.jar,1.0
xfire-all-1.0.jar,1.0
derby-10.1.2.1.jar,1.0
spring-core-3.0.2.RELEASE.jar,1.0
org.eclipse.equinox.security.ui_1.1.100.v20130327-1442.jar,1.0
svnjavahl.jar,1.0
rascore.jar,1.0
aheritrix-1.14.1.jar,1.0
org.eclipse.equinox.p2.extensionlocation_1.2.100.v20130327-2119.jar,1.0
cglib.jar,1.0
org.eclipse.equinox.simpleconfigurator.manipulator_2.0.0.v20130327-2119.jar,1.0
org.eclipse.core.variables_3.2.700.v20130402-1741.jar,1.0
test-extension-1.jar,1.0
webbeans-core.jar,1.0
tomcat-util.jar,1.0
jsf-impl.jar,2.0
org.eclipse.jdt_3.9.0.v20130605-2000.jar,1.0
postgresql-8.1-404.jdbc3.jar,1.0
log4j-snmp-appender.jar,2.0
org.eclipse.platform.doc.isv_4.3.0.v20130606-0003.jar,1.0
org.eclipse.core.resources_3.8.100.v20130521-2026.jar,1.0
jnp-client.jar,2.0
org.eclipse.pde.junit.runtime_3.4.300.v20130422-2046.jar,1.0
jaxen.jar,1.0
jboss-marshalling-1.3.15.GA.jar,1.0
bindingservice-plugin.jar,1.0
jbossmq.jar,1.0
org.eclipse.jdt.junit_3.7.200.v20130514-0733.jar,1.0
spring-core-2.5.5.jar,1.0
poi-3.5-FINAL-20090928.jar,1.0
serialization.jar,1.0
axis-1.1.jar,1.0
org.eclipse.team.cvs.ui_3.3.600.v20130514-1224.jar,1.0
CrystalReportingCommon.jar,1.0
jboss-cache-1.4.1.GA.jar,1.0
